"id (S)","color (L)","earringElement (L)","earringPrice (N)","earringRemovedBgImg (S)","earringStyle (L)","earringThumbnailUrl (S)","shopName (S)","shopUrl (S)","earringName (S)"
"00021","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""문스톤"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""CZ"" },  { ""S"" : ""로즈골드도금"" }]","49500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389613/%EB%B9%85%ED%86%A0%EB%A6%AC%EC%95%84_w7cmhy.png","[  { ""S"" : ""세련"" },  { ""S"" : ""화려"" },  { ""S"" : ""우아"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201908/e88b1435a4f78b7828334923bdf7af9b.jpg","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1959&cate_no=180&display_group=1","빅토리아 귀걸이"
"00022","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""CZ"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""백금도금"" }]","14000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389916/%EB%8B%AC%EC%9D%98%EC%97%AC%EC%8B%A0_rngnyz.png","[  { ""S"" : ""단아"" },  { ""S"" : ""심플"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201907/7aedd83699a5bba00fd1e84ab90ee86c.webp","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1903&cate_no=180&display_group=1","달의여신 루나 귀걸이"
"00023","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""합성석"" },  { ""S"" : ""로즈골드도금"" }]","15700","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389916/%EB%9D%BC%EB%B2%A4%EB%8D%94%EB%B8%94%EB%A3%B8_azs0zt.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던플"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201907/b591c1043b6a420a9d2f9022e7b5bf8d.webp","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1868&cate_no=180&display_group=1","라벤더블룸 귀걸이"
"00024","[  { ""S"" : ""실버"" }]","[  { ""S"" : ""크리스탈"" },  { ""S"" : ""신주"" },  { ""S"" : ""진주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""백금도금"" },  { ""S"" : ""엔틱도금"" },  { ""S"" : ""로즈골드도금"" }]","15500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389916/%EB%88%88%EA%BD%83_fav6jm.png","[  { ""S"" : ""순수"" },  { ""S"" : ""우아"" },  { ""S"" : ""화려"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201811/ed70bacd10dbc1b436b4f86a3ec4fa75.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1586&cate_no=180&display_group=1","눈꽃처럼 귀걸이"
"00025","[  { ""S"" : ""실버"" }]","[  { ""S"" : ""실버도금"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""골드도금"" }]","13500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389916/%EC%95%84%EB%A5%B4%EB%96%BC_gr7gfh.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" },  { ""S"" : ""순수"" }]","https://wingbling.co.kr/web/product/tiny/201907/ffb726e88dafc50c1587d1d97dd902ce.webp","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=447&cate_no=180&display_group=1","아르떼 귀걸이"
"00026","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""도금"" }]","36000","https://res.cloudinary.com/dls1qvean/image/upload/v1573299488/hiclipart.com_c9vr0w.png","[  { ""S"" : ""화려"" },  { ""S"" : ""우아"" }]","https://shop-phinf.pstatic.net/20190125_160/imiss6413_1548348983979i8G6d_JPEG/71655284573952946_967219687.jpg?type=m510","soo-soo","http://www.soo-soo.co.kr/shop/shopdetail.html?branduid=155980&xcode=001&mcode=004&scode=&type=X&sort=order&cur_code=001004&GfDT=bm97W1k%3D","닉스 원터치실버오링귀걸이"
"00027","[  { ""S"" : ""실버"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""24k"" }]","5260","https://res.cloudinary.com/dls1qvean/image/upload/v1573299488/hiclipart.com_1_g14wka.png","[  { ""S"" : ""화려"" },  { ""S"" : ""모던"" },  { ""S"" : ""순수"" }]","http://www.soo-soo.co.kr/shopimages/fogo001/001002000342.jpg?1572334334","soo-soo","http://www.soo-soo.co.kr/shop/shopdetail.html?branduid=156699&xcode=001&mcode=002&scode=&type=X&sort=order&cur_code=001002&GfDT=amt3UF4%3D","쉐라론 진주링귀걸이"
"00028","[  { ""S"" : ""아이보리"" },  { ""S"" : ""블루"" },  { ""S"" : ""핑크"" }]","큐빅","9000","https://res.cloudinary.com/dls1qvean/image/upload/v1573299488/hiclipart.com_2_nfsw6q.png","[  { ""S"" : ""순수"" },  { ""S"" : ""트레디셔널"" }]","http://www.soo-soo.co.kr/shopimages/fogo001/001002000303.jpg?1560242104","soo-soo","http://www.soo-soo.co.kr/shop/shopdetail.html?branduid=155882&xcode=001&mcode=002&scode=&type=X&sort=order&cur_code=001002&GfDT=a2p3U10%3D","샤에르 스톤링귀걸이"
"00029","[  { ""S"" : ""실버"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""18k"" },  { ""S"" : ""24k"" }]","5900","https://res.cloudinary.com/dls1qvean/image/upload/v1573299488/pngguru.com_lhham2.png","[  { ""S"" : ""심플"" },  { ""S"" : ""우아"" },  { ""S"" : ""모던"" },  { ""S"" : ""순수"" },  { ""S"" : ""화려"" },  { ""S"" : ""트레디셔널"" }]","http://www.soo-soo.co.kr/shopimages/fogo001/001004000447.jpg?1570341795","soo-soo","http://www.soo-soo.co.kr/shop/shopdetail.html?branduid=155980&xcode=001&mcode=004&scode=&type=X&sort=order&cur_code=001004&GfDT=bm97W1k%3D","우아핏 무광오픈링귀걸이"
"00030","[  { ""S"" : ""실버"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""18k"" },  { ""S"" : ""24k"" }]","9000","https://res.cloudinary.com/dls1qvean/image/upload/v1573299488/pngguru.1com_k60msj.png","[  { ""S"" : ""심플"" },  { ""S"" : ""우아"" },  { ""S"" : ""모던"" },  { ""S"" : ""순수"" },  { ""S"" : ""트레디셔널"" }]","http://www.soo-soo.co.kr/shopimages/fogo001/001002000270.jpg?1549008271","soo-soo","http://www.soo-soo.co.kr/shop/shopdetail.html?branduid=155022&search=%25B8%25C5%25C6%25BC%2B%25BD%25BA%25C4%25F9%25BE%25EE%25B8%25B5%25B1%25CD%25B0%25C9%25C0%25CC&sort=order&xcode=001&mcode=002&scode=&GfDT=Z253UQ%3D%3D","매티 스퀘어링귀걸이"
"00031","[  { ""S"" : ""실버"" },  { ""S"" : ""핑크"" }]","[  { ""S"" : ""14k"" },  { ""S"" : ""크리스탈"" }]","11800","https://res.cloudinary.com/dls1qvean/image/upload/v1573299487/pngguru.com_2_twgxnf.png","[  { ""S"" : ""우아"" },  { ""S"" : ""모던"" },  { ""S"" : ""트레디셔널"" }]","http://www.soo-soo.co.kr/shopimages/fogo001/001005002431.jpg?1569226853","soo-soo","http://www.soo-soo.co.kr/shop/shopdetail.html?branduid=156516&search=%25BF%25A1%25B8%25A3%25C4%25DA%2B%25BF%25FE%25C0%25CC%25BA%25EA%25B5%25E5%25B7%25D3%25B1%25CD%25B0%25C9%25C0%25CC&sort=order&xcode=001&mcode=005&scode=&GfDT=bm9%2FW1w%3D","에르코 웨이브드롭귀걸이"
"00032","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" },  { ""S"" : ""큐빅"" }]","70550","https://res.cloudinary.com/dls1qvean/image/upload/v1573299487/kisspng-earring-jewellery-diamond-cut-cubic-zirconia-diamonds-5ac82189974cc4.8592439415230652256197_tomt7w.png","[  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","http://www.rurugold.com/shopimages/rurugold/002003000076.jpg?1550128474","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=1446&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bGV9","14k 진주 포인트 엘리바스 침형 귀걸이 E12-67"
"00033","[  { ""S"" : ""실버"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","53500","https://res.cloudinary.com/dls1qvean/image/upload/v1573299487/pngguru.com_1_p0s729.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","http://www.rurugold.com/shopimages/rurugold/002003000108.jpg?1549001767","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=178425&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=Zmx3WQ%3D%3D","14k 로렐 진주 침형 귀걸이 E21-16"
"00034","[  { ""S"" : ""실버"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","50150","https://res.cloudinary.com/dls1qvean/image/upload/v1573299487/pngguru.com_3_u123sy.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","http://www.rurugold.com/shopimages/rurugold/002003000021.jpg?1548651941","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=3015&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bm57W1pC","14K 8mm엘리바스 리본진주 침형 귀걸이 E16-28"
"00035","[  { ""S"" : ""옐로우골드"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","53550","https://res.cloudinary.com/dls1qvean/image/upload/v1573299486/kisspng-chanel-japanese-camellia-earring-jewellery-bracele-gold-jewelry-5aa3d60d5ae327.3233939415206866053723_rvre6d.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" },  { ""S"" : ""트레디셔널"" }]","http://www.rurugold.com/shopimages/rurugold/002003000047.jpg?1548033124","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=2210&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bmp0W1tE","14k 샤르망 7mm진주 침형 귀걸이 E14-37"
"00036","[  { ""S"" : ""실버"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","62900","https://res.cloudinary.com/dls1qvean/image/upload/v1573299486/kisspng-earring-chanel-costume-jewelry-pearl-jewellery-cat-5acdce46ec7810.5705744715234371269686_ix2szm.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" },  { ""S"" : ""화려"" }]","http://www.rurugold.com/shopimages/rurugold/002003000109.jpg?1548904301","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=178412&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bW13U1w%3D","14k 로이 진주 침형 귀걸이 E21-09"
"00037","[  { ""S"" : ""옐로우골드"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","45050","https://res.cloudinary.com/dls1qvean/image/upload/v1573299486/kisspng-earring-cartier-jewellery-gold-diamond-earring-5abd067d607a86.8411025115223374053952_pp833m.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" },  { ""S"" : ""트레디셔널"" }]","http://www.rurugold.com/shopimages/rurugold/002003000093.jpg?1550029405","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=2211&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bm18W19C","14k 러블리하트 진주포인트 침형 귀걸이 E14-39"
"00038","[  { ""S"" : ""화이트"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","30600","https://res.cloudinary.com/dls1qvean/image/upload/v1573299486/kisspng-earring-jewellery-gold-necklace-designer-golden-peacock-5ada219c71b477.9265975815242448924658_sdrvuy.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","http://www.rurugold.com/shopimages/rurugold/002003000119.jpg?1549507939","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=268560&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bmx%2FW1hB","14k 플라워 담수진주 화이트 침형 귀걸이 E22-58"
"00039","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","83300","https://res.cloudinary.com/dls1qvean/image/upload/v1573299486/kisspng-earring-body-jewellery-chanel-earring-5b42a3b427bd21.1419149115310939401628_cghzvl.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","http://www.rurugold.com/shopimages/rurugold/002003000059.jpg?1549002413","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=1197&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=bm19W1hC","14k 플라워 담수진주 화이트 침형 귀걸이 E22-58"
"00040","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""진주"" },  { ""S"" : ""14k"" }]","55250","https://res.cloudinary.com/dls1qvean/image/upload/v1573299485/kisspng-chanel-no-5-earring-jewellery-fashion-gold-earrings-5ae2fba4f17ec8.4774866615248249969892_vzmb4b.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","http://www.rurugold.com/shopimages/rurugold/002003000070.jpg?1547802927","rurugold","http://www.rurugold.com/shop/shopdetail.html?branduid=46&xcode=002&mcode=003&scode=&type=X&sort=manual&cur_code=002003&GfDT=aGd3VlQ%3D","14k 진주 아비스 침형 귀걸이 E05-25"
"00041","[  { ""S"" : ""실버"" },  { ""S"" : ""골드"" },  { ""S"" : ""핑크골드"" }]","[  { ""S"" : ""큐빅"" },  { ""S"" : ""탄생석"" }]","11000","https://res.cloudinary.com/dls1qvean/image/upload/v1573299485/kisspng-earring-jewellery-tassel-tassel-earrings-5a950e0d9c2b45.9037902015197179016397_dz0pfu.png","[  { ""S"" : ""심플"" },  { ""S"" : ""우아"" },  { ""S"" : ""모던"" },  { ""S"" : ""트레디셔널"" }]","http://www.asmama.com/shopimages/asmamame/0560000108142.jpg?1570504675","asmama","http://www.asmama.com/shop/shopdetail.html?branduid=335180&xcode=051&mcode=003&scode=&type=Y&sort=order&cur_code=051003&GfDT=bmh%2FW10%3D","르티샤 귀걸이 (실버침)"
