"id (S)","color (L)","earringElement (L)","earringPrice (N)","earringRemovedBgImg (S)","earringStyle (L)","earringThumbnailUrl (S)","shopName (S)","shopUrl (S)","earringName (S)"
"00052","[  { ""S"" : ""오로라"" },  { ""S"" : ""레인보우"" }]","[  { ""S"" : ""크리스탈"" },  { ""S"" : ""무니켈침"" }]","8500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390324/%EB%A7%A4%EC%A7%81%EC%8A%A4%ED%80%98%EC%96%B4_qhzuhi.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201908/631db29dd52d33d4ff78c2b7d725bbea.webp","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1921&cate_no=180&display_group=1","매직스퀘어 귀걸이"
"00053","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""합성석"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""CZ"" },  { ""S"" : ""크리스탈"" },  { ""S"" : ""로즈골드도금"" }]","27800","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390324/%EB%A1%9C%EC%A6%88%EB%B0%B8%EB%A6%AC_rnxz9c.png","[  { ""S"" : ""세련"" },  { ""S"" : ""우아"" },  { ""S"" : ""화려"" }]","https://wingbling.co.kr/web/product/tiny/201909/b59902db8b5eee86bcec85b7f9d6f4d3.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2006&cate_no=180&display_group=1","로즈밸리 귀걸이"
"00054","[  { ""S"" : ""실버"" },  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""핑크골드도금"" },  { ""S"" : ""백금도금"" }]","13500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390323/%EB%8D%B8%EB%9D%BC_wusbcf.png","[  { ""S"" : ""순수"" },  { ""S"" : ""심플"" }]","https://wingbling.co.kr/web/product/tiny/201903/2c50aca2250866fda8b89f245071f52c.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1075&cate_no=180&display_group=1","델라 귀걸이"
"00055","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""천연자개"" },  { ""S"" : ""신주"" },  { ""S"" : ""무니켈침"" },  { ""S"" : ""골드도금"" }]","13800","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390323/%ED%81%B4%EB%9D%BC%EB%9D%BC_xmd4ht.png","[  { ""S"" : ""세련"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201909/f721f6592df84aaa7a531518997729a5.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2010&cate_no=180&display_group=1","클라라 귀걸이"
"00056","[  { ""S"" : ""실버"" },  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""장미수정"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""진주"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""백금도금"" }]","13500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390323/%EC%95%A8%EB%A6%AC_pfmddl.png","[  { ""S"" : ""순수"" },  { ""S"" : ""모던"" }]","https://wingbling.co.kr/web/product/tiny/201707/1229_shop1_989708.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1229&cate_no=180&display_group=1","앨리 탄생화 귀걸이"
"00057","[  { ""S"" : ""실버"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""진주"" },  { ""S"" : ""백금도금"" }]","15000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390603/%EB%A7%88%EB%A6%AC%EC%95%88%EB%8A%90_qe1fqe.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" }]","https://wingbling.co.kr/web/product/tiny/201901/548f3337d4d62bf24a27c08eb6143846.jpg","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1685&cate_no=180&display_group=1","마리안느 귀걸이"
"00058","[  { ""S"" : ""실버"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""티타늄침"" },  { ""S"" : ""신주"" },  { ""S"" : ""진주"" },  { ""S"" : ""크리스탈"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""백금도금"" }]","14000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390603/%EC%82%AC%EB%9E%91%EC%97%90%EB%B9%A0%EC%A0%B8_ms3fej.png","[  { ""S"" : ""순수"" },  { ""S"" : ""심플"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201712/1317_shop1_481255.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1317&cate_no=180&display_group=1","사랑에 빠져 귀걸이"
"00059","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""실버침"" },  { ""S"" : ""신주"" },  { ""S"" : ""진주"" },  { ""S"" : ""CZ"" },  { ""S"" : ""로즈골드도금"" }]","14500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573391016/%EC%BD%94%EB%8D%B8%EB%A6%AC%EC%95%84_tsxi7a.png","[  { ""S"" : ""단아"" },  { ""S"" : ""심플"" }]","https://wingbling.co.kr/web/product/tiny/201905/0bae0ccf07923567c1b97e67f41b22d2.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1768&cate_no=180&display_group=1","코델리아 귀걸이"
"00060","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""실버침"" },  { ""S"" : ""합성석"" },  { ""S"" : ""신주"" },  { ""S"" : ""CZ"" },  { ""S"" : ""로즈골드도금"" }]","12000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390603/%EB%B2%A0%EB%A1%9C%EB%8B%88%EC%B9%B4_z96tke.png","[  { ""S"" : ""세련"" },  { ""S"" : ""우아"" },  { ""S"" : ""모던"" }]","https://wingbling.co.kr/web/product/tiny/201910/7cb7e58d9a9ec7a1f3a67acc742e3111.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2060&cate_no=180&display_group=1","베로니카 귀걸이"
"00061","[  { ""S"" : ""핑크"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""실버침"" },  { ""S"" : ""신주"" },  { ""S"" : ""백금도금"" },  { ""S"" : ""CZ"" },  { ""S"" : ""로즈골드도금"" }]","14000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573390603/%EC%95%84%EC%9D%B4%EB%A6%B0_nu1aad.png","[  { ""S"" : ""세련"" },  { ""S"" : ""화려"" },  { ""S"" : ""모던"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201908/265bb7114f7d9d36153cdfa209e4f76f.webp","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1950&cate_no=180&display_group=1","아이린 귀걸이"
